2017-05-14 13:08:04 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-14 13:19:46 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-14 13:19:47 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-14 13:19:47 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-14 13:19:47 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-14 13:19:48 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-14 13:19:48 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-14 13:20:29 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-14 13:20:30 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-14 13:20:30 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-14 13:20:31 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-14 13:20:31 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-14 13:20:31 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-14 13:20:48 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-14 13:20:49 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-14 13:20:49 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-14 13:20:50 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-14 13:20:50 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-14 13:20:51 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-14 13:21:16 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-14 13:21:17 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-14 13:21:17 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-14 13:21:18 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-14 13:21:18 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-14 13:21:18 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-14 13:21:44 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-14 13:21:44 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-14 13:21:45 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-14 13:21:45 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-14 13:21:45 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-14 13:21:46 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-14 13:22:22 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-14 13:22:23 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-14 13:22:23 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-14 13:22:23 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-14 13:22:24 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-14 13:22:24 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-14 14:04:55 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-14 14:04:56 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-14 14:04:57 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-14 14:04:57 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-14 14:04:58 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-14 14:04:59 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-14 14:05:00 CST INFO  UI.LeftBehindChildren$1 84 run - 查看首页
2017-05-14 14:05:46 CST INFO  UI.LeftBehindChildren$5 265 mouseClicked - 首页点击打开已分类新闻--好政策播种新希望——记湖北省农村教师资助行动计划
2017-05-14 14:05:57 CST INFO  UI.ClassifiedNewsContent$2 128 actionPerformed - 返回首页
2017-05-14 14:06:00 CST INFO  UI.LeftBehindChildren$6 311 actionPerformed - 进入统计站，进行三报相关新闻总数量统计
2017-05-14 14:06:03 CST INFO  UI.StatisticsBin$6 283 actionPerformed - 新闻报道来源统计
2017-05-14 14:06:04 CST INFO  UI.StatisticsBin$10 417 actionPerformed - 新闻具体种类统计
2017-05-14 14:06:06 CST INFO  UI.StatisticsBin$1 100 actionPerformed - 返回首页
2017-05-14 14:06:07 CST INFO  UI.LeftBehindChildren$3 172 mouseClicked - 首页点击打开未分类新闻--创新实践教学强化素质教育阜阳师院精心培养新型“未来教师”
2017-05-14 14:06:12 CST INFO  UI.NewsContent$19 707 actionPerformed - 返回首页
2017-05-14 14:06:13 CST INFO  UI.LeftBehindChildren$3 172 mouseClicked - 首页点击打开未分类新闻--在田间读“万卷书”——南通大学学生投身新农村建设纪实
2017-05-14 14:06:15 CST INFO  UI.NewsContent$19 707 actionPerformed - 返回首页
2017-05-14 14:06:40 CST INFO  UI.LeftBehindChildren$3 172 mouseClicked - 首页点击打开未分类新闻--创新实践教学强化素质教育阜阳师院精心培养新型“未来教师”
2017-05-14 14:06:47 CST INFO  UI.NewsContent$19 707 actionPerformed - 返回首页
2017-05-14 14:06:50 CST INFO  UI.LeftBehindChildren$6 311 actionPerformed - 进入统计站，进行三报相关新闻总数量统计
2017-05-14 14:06:52 CST INFO  UI.StatisticsBin$1 100 actionPerformed - 返回首页
2017-05-14 14:06:53 CST INFO  UI.LeftBehindChildren$7 329 actionPerformed - 进入回收站
2017-05-14 14:06:55 CST INFO  UI.RecycleBin$3 154 actionPerformed - 返回首页
2017-05-28 08:20:56 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-28 08:20:56 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-28 08:20:57 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-28 08:20:58 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-28 08:20:59 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-28 08:20:59 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-28 08:21:00 CST INFO  UI.LeftBehindChildren$1 84 run - 查看首页
2017-05-28 08:21:16 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-28 08:21:17 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-28 08:21:18 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-28 08:21:18 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-28 08:21:19 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-28 08:21:19 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-28 08:21:20 CST INFO  UI.LeftBehindChildren$1 84 run - 查看首页
2017-05-28 08:22:04 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-28 08:22:05 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-28 08:22:05 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-28 08:22:06 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-28 08:22:06 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-28 08:22:07 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-28 08:22:08 CST INFO  UI.LeftBehindChildren$1 84 run - 查看首页
2017-05-28 08:22:21 CST INFO  UI.LeftBehindChildren$3 172 mouseClicked - 首页点击打开未分类新闻--分成十个课题组走访八十三个村安徽大学百名学生撰写“新农村档案”
2017-05-28 08:22:34 CST INFO  UI.NewsContent$19 707 actionPerformed - 返回首页
2017-05-28 08:22:35 CST INFO  UI.LeftBehindChildren$5 265 mouseClicked - 首页点击打开已分类新闻--全国政协十届四次会议举行第三次全体会议贾庆林出席12位委员围绕科教文衞等社会事业...
2017-05-28 08:22:39 CST INFO  UI.ClassifiedNewsContent$2 128 actionPerformed - 返回首页
2017-05-28 08:22:40 CST INFO  UI.LeftBehindChildren$3 172 mouseClicked - 首页点击打开未分类新闻--加大经费保障提供重点扶持福建基础教育资源向农村倾斜
2017-05-28 08:22:43 CST INFO  UI.NewsContent$19 707 actionPerformed - 返回首页
2017-05-28 08:34:36 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-28 08:34:37 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-28 08:34:38 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
2017-05-28 08:34:38 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/guangming.xml
2017-05-28 08:34:39 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/nanfangdaily.xml
2017-05-28 08:34:39 CST INFO  XmlData.Dom4j 165 parserXml - 解析assets/sichuan.xml
2017-05-28 08:34:40 CST INFO  UI.LeftBehindChildren$1 88 run - 查看首页
2017-05-28 08:37:35 CST INFO  XmlData.Dom4j 36 initXml - assets/guangming.xml 初始化xml数据
2017-05-28 08:37:36 CST INFO  XmlData.Dom4j 36 initXml - assets/nanfangdaily.xml 初始化xml数据
2017-05-28 08:37:36 CST INFO  XmlData.Dom4j 36 initXml - assets/sichuan.xml 初始化xml数据
